Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,44.31247145
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,75246.84
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,50.40201651
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,781.071
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,29.23383746
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,16409.825
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,2.768012735
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,19974.149
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,48.30194064
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,128260.659
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,79.63959805
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,1092.766
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,58.07217474
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,63138.406
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,47.84904392
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,105206.23
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,64304.512
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,20.94891926
